Atualizado - Ability | 1 - Stench - Fedor
Atualizado - Ability | 38 - Poison-point - Ponto de Veneno
Atualizado - Ability | 39 - Inner-focus - Concentração Interna
Atualizado - Ability | 40 - Magma-armor - Armadura de Magm
Atualizado - Ability | 41 - Water-veil - Véu de Água
Atualizado - Ability | 42 - Magnet-pull - Magnetismo
Atualizado - Ability | 43 - Soundproof - Insonorização
Atualizado - Ability | 44 - Rain-dish - Chuva do Desejo
Atualizado - Ability | 45 - Sand-stream - Córrego de Areia
Atualizado - Ability | 46 - Pressure - Pressão
Atualizado - Ability | 47 - Thick-fat - Gordura Espessa
Atualizado - Ability | 48 - Early-bird - Passáro Precoce
Atualizado - Ability | 49 - Flame-body - Corpo em Chamas
Atualizado - Ability | 50 - Run-away - Fuga
Atualizado - Ability | 51 - Keen-eye - Olho Entusiasmado
Atualizado - Ability | 52 - Hyper-cutter - Hiper Cortador
Atualizado - Ability | 53 - Pickup - Capturar
Atualizado - Ability | 54 - Truant - Preguiça
Atualizado - Ability | 55 - Hustle - Entusiasmo
Atualizado - Ability | 56 - Cute-charm - Charme Gracioso
Atualizado - Ability | 57 - Plus - Mais
Atualizado - Ability | 58 - Minus - Menos
Atualizado - Ability | 59 - Forecast - Previsão do Tempo
Atualizado - Ability | 60 - Sticky-hold - Viscosidade
Atualizado - Ability | 61 - Shed-skin - Pele vertente
Atualizado - Ability | 62 - Guts - Músculos
Atualizado - Ability | 63 - Marvel-scale - Escama Maravilha
Atualizado - Ability | 64 - Liquid-ooze - Lodo Líquido
Atualizado - Ability | 65 - Overgrow - Super Crescimento
Atualizado - Ability | 66 - Blaze - Incêndio
Atualizado - Ability | 67 - Torrent - Dilúvi
Atualizado - Ability | 68 - Swarm - Enxame
Atualizado - Ability | 69 - Rock-head - Cabeça de Pedra
Atualizado - Ability | 70 - Drought - Seca/Calor Desértico
Atualizado - Ability | 71 - Arena-trap - Arena-Armadilha
Atualizado - Ability | 72 - Vital-spirit - Espírito Vital
Atualizado - Ability | 73 - White-smoke - Fumo Branco
Atualizado - Ability | 74 - Pure-power - Poder Puro
Atualizado - Ability | 75 - Shell-armor - Armadura de Concha
Atualizado - Ability | 76 - Air-lock - Bloqueio Aéreo
Atualizado - Ability | 77 - Tangled-feet - Pés Laçados
Atualizado - Ability | 78 - Motor-drive - Impulso Motor
Atualizado - Ability | 79 - Rivalry - Rivalidade
Atualizado - Ability | 80 - Steadfast - Inabalável
Atualizado - Ability | 81 - Snow-cloak - Capa de Neve
Atualizado - Ability | 82 - Gluttony - Gulodice
Atualizado - Ability | 83 - Anger-point - Ponto de Raiva
Atualizado - Ability | 84 - Unburden - Sem Peso
Atualizado - Ability | 85 - Heatproof - À Prova de Calor
Atualizado - Ability | 86 - Simple - Simplificar
Atualizado - Ability | 87 - Dry-skin - Pele Seca
Atualizado - Ability | 88 - Download - Descarga
Atualizado - Ability | 89 - Iron-fist - Punho de Ferro
Atualizado - Ability | 90 - Poison-heal - Antídoto
Atualizado - Ability | 91 - Adaptability - Adaptabilidade
Atualizado - Ability | 92 - Skill-link - Liga Habilidade
Atualizado - Ability | 93 - Hydration - Hidratação
Atualizado - Ability | 94 - Solar-power - Poder Solar
Atualizado - Ability | 95 - Quick-feet - Pés Rápidos
Atualizado - Ability | 96 - Normalize - Normalidade
Atualizado - Ability | 97 - Sniper - Franco-Atirador
Atualizado - Ability | 98 - Magic-guard - Escudo Mágico
Atualizado - Ability | 99 - No-guard - Sem Proteção
Atualizado - Ability | 100 - Stall - Adiar
Atualizado - Ability | 101 - Technician - Técnico
Atualizado - Ability | 102 - Leaf-guard - Guarda Folha
Atualizado - Ability | 103 - Klutz - Grosseria
Atualizado - Ability | 104 - Mold-breaker - Destruidor de Molde
Atualizado - Ability | 105 - Super-luck - Supersorte
Atualizado - Ability | 106 - Aftermath - Consequência
Atualizado - Ability | 107 - Anticipation - Antecipação
Atualizado - Ability | 108 - Forewarn - Profecia
Atualizado - Ability | 109 - Unaware - Ignorante
Atualizado - Ability | 110 - Tinted-lens - Olhos Escuros
Atualizado - Ability | 111 - Filter - Filtragem
Atualizado - Ability | 112 - Slow-start - Começo Lento
Atualizado - Ability | 113 - Scrappy - Transparência
Atualizado - Ability | 114 - Storm-drain - Drena-Tempestades
Atualizado - Ability | 115 - Ice-body - Corpo de Gelo
Atualizado - Ability | 116 - Solid-rock - Rocha Sólida
Atualizado - Ability | 117 - Snow-warning - Alerta de Neve
Atualizado - Ability | 118 - Honey-gather - Pegar Mel
Atualizado - Ability | 119 - Frisk - Bisbilhotar
Atualizado - Ability | 120 - Reckless - Imprudência
Atualizado - Ability | 121 - Multitype - Multitipo
Atualizado - Ability | 122 - Flower-gift - Presente da Flor
Atualizado - Ability | 123 - Bad-dreams - Pesadelos
Atualizado - Ability | 124 - Pickpocket - Furto
Atualizado - Ability | 125 - Sheer-force - Força Absoluta
Atualizado - Ability | 126 - Contrary - Contrário
Atualizado - Ability | 127 - Unnerve - Enervar
Atualizado - Ability | 128 - Defiant - Desafiante
Atualizado - Ability | 129 - Defeatist - Derrotável
Atualizado - Ability | 130 - Cursed-body - Corpo Amaldiçoado
Atualizado - Ability | 131 - Healer - Cura
Atualizado - Ability | 132 - Friend-guard - Proteção Amiga
Atualizado - Ability | 133 - Weak-armor - Armadura Fraca
Atualizado - Ability | 134 - Heavy-metal - Metal Pesado
Atualizado - Ability | 135 - Light-metal - Metal Leve
Atualizado - Ability | 136 - Multiscale - Multiescamas
Atualizado - Ability | 137 - Toxic-boost - Impulso Tóxico
Atualizado - Ability | 138 - Flare-boost - Impulso Ardente
Atualizado - Ability | 139 - Harvest - Colheita
Atualizado - Ability | 140 - Telepathy - Telepatia
Atualizado - Ability | 141 - Moody - Mal-Humor
Atualizado - Ability | 142 - Overcoat - Sobrecasaco
Atualizado - Ability | 143 - Poison-touch - Toque Venenoso
Atualizado - Ability | 144 - Regenerator - Regeneração
Atualizado - Ability | 145 - Big-pecks - Beijinhos
Atualizado - Ability | 146 - Sand-rush - Ímpeto Areia
Atualizado - Ability | 147 - Wonder-skin - Pele Maravilha
Atualizado - Ability | 148 - Analytic - Analítico
Atualizado - Ability | 149 - Illusion - Ilusão
Atualizado - Ability | 150 - Imposter - Impostor
Atualizado - Ability | 151 - Infiltrator - Infiltrado
Atualizado - Ability | 152 - Mummy - Múmia
Atualizado - Ability | 153 - Moxie - Arrogância
Atualizado - Ability | 154 - Justified - Justiceiro
Atualizado - Ability | 155 - Rattled - Covardia
Atualizado - Ability | 156 - Magic-bounce - Reflexo Mágico
Atualizado - Ability | 157 - Sap-sipper - Engolidor de Seiva
Atualizado - Ability | 158 - Prankster - Travessura
Atualizado - Ability | 159 - Sand-force - Força da Areia
Atualizado - Ability | 160 - Iron-barbs - Espinhos de Ferro
Atualizado - Ability | 161 - Zen-mode - Modo Zen
Atualizado - Ability | 162 - Victory-star - Estrela da Vitória
Atualizado - Ability | 163 - Turboblaze - Turbochama
Atualizado - Ability | 164 - Teravolt - Teravoltagem
Atualizado - Ability | 165 - Aroma-veil - Véu Vromático
Atualizado - Ability | 166 - Flower-veil - Véu de Flores
Atualizado - Ability | 167 - Cheek-pouch - Bolsa de Bochecha
Atualizado - Ability | 168 - Protean - Mutatipo
Atualizado - Ability | 169 - Fur-coat - Camada de Pelos
Atualizado - Ability | 170 - Magician - Mago
Atualizado - Ability | 171 - Bulletproof - À prova de balas
Atualizado - Ability | 172 - Competitive - Competitivo
Atualizado - Ability | 173 - Strong-jaw - Mandíbula Forte
Atualizado - Ability | 174 - Refrigerate - Refrigeração
Atualizado - Ability | 175 - Sweet-veil - Véu Doce
Atualizado - Ability | 176 - Stance-change - Mudança em Posição
Atualizado - Ability | 177 - Gale-wings - Asas de Vendaval
Atualizado - Ability | 178 - Mega-launcher - Megalançamento
Atualizado - Ability | 179 - Grass-pelt - Pele de Grama
Atualizado - Ability | 180 - Symbiosis - Simbiose
Atualizado - Ability | 181 - Tough-claws - Garra Dura
Atualizado - Ability | 182 - Pixilate - Pele de Fada
Atualizado - Ability | 183 - Gooey - Pegajoso
Atualizado - Ability | 184 - Aerilate - Arejar
Atualizado - Ability | 185 - Parental-bond - Vínculo Parental
Atualizado - Ability | 186 - Dark-aura - Aura Negra
Atualizado - Ability | 187 - Fairy-aura - Aura de Fada
Atualizado - Ability | 188 - Aura-break - Quebra de aura
Atualizado - Ability | 189 - Primordial-sea - Mar Primordial
Atualizado - Ability | 190 - Desolate-land - Área Desolada
Atualizado - Ability | 191 - Delta-stream - Corrente Delta
Atualizado - Ability | 192 - Stamina - Stamina
Atualizado - Ability | 193 - Wimp-out - Amarelar
Atualizado - Ability | 194 - Emergency-exit - Saída de Emergência
Atualizado - Ability | 195 - Water-compaction - Compactação de Água
Atualizado - Ability | 196 - Merciless - Impiedoso
Atualizado - Ability | 197 - Shields-down - Escudos Abaixados
Atualizado - Ability | 198 - Stakeout - Tocaia
Atualizado - Ability | 199 - Water-bubble - Bolha de Água
Atualizado - Ability | 200 - Steelworker - Trabalhador de Aço
Atualizado - Ability | 201 - Berserk - Furioso
Atualizado - Ability | 202 - Slush-rush - Limpa-Neves
Atualizado - Ability | 203 - Long-reach - Longo Alcance
Atualizado - Ability | 204 - Liquid-voice - Voz Fluida
Atualizado - Ability | 205 - Triage - Triagem
Atualizado - Ability | 206 - Galvanize - Galvanizar
Atualizado - Ability | 207 - Surge-surfer - Cauda Surfista
Atualizado - Ability | 208 - Schooling - Cardume
Atualizado - Ability | 209 - Disguise - Disfarce
Atualizado - Ability | 210 - Battle-bond - Laço de Batalha
Atualizado - Ability | 211 - Power-construct - Construção de Poder
Atualizado - Ability | 212 - Corrosion - Corrosão
Atualizado - Ability | 213 - Comatose - Em Coma
Atualizado - Ability | 214 - Queenly-majesty - Presença Régia
Atualizado - Ability | 215 - Innards-out - Extensão de Vísceras
Atualizado - Ability | 216 - Dancer - Dançarino
Atualizado - Ability | 217 - Battery - Bateria
Atualizado - Ability | 218 - Fluffy - Macio
Atualizado - Ability | 219 - Dazzling - Ofuscante
Atualizado - Ability | 220 - Soul-heart - Coralma
Atualizado - Ability | 221 - Tangling-hair - Cabelo Desgrenhado
Atualizado - Ability | 222 - Receiver - Receptor
Atualizado - Ability | 223 - Power-of-alchemy - Poder de Alquimia
Atualizado - Ability | 224 - Beast-boost - Impulso de Besta
Atualizado - Ability | 225 - Rks-system - Sistema RKS
Atualizado - Ability | 226 - Electric-surge - Eletrogênese
Atualizado - Ability | 227 - Psychic-surge - Onda Psíquica
Atualizado - Ability | 228 - Misty-surge - Onda de Névoa
Atualizado - Ability | 229 - Grassy-surge - Onda Gramínea
Atualizado - Ability | 230 - Full-metal-body - Corpo Metálico
Atualizado - Ability | 231 - Shadow-shield - Escudo Sombrio
Atualizado - Ability | 232 - Prism-armor - Armadura de Prisma
Atualizado - Ability | 233 - Neuroforce - Neuroforça
Atualizado - Ability | 234 - Intrepid-sword - Espada Intrépida
Atualizado - Ability | 235 - Dauntless-shield - Escudo Destemido
Atualizado - Ability | 236 - Libero - Líbero
Atualizado - Ability | 237 - Ball-fetch - Pegar Bola
Atualizado - Ability | 238 - Cotton-down - Penugem de Algodão
Atualizado - Ability | 239 - Propeller-tail - Hélice de Cauda
Atualizado - Ability | 240 - Mirror-armor - Armadura Espelhada
Atualizado - Ability | 241 - Gulp-missile - Míssil de Gole
Atualizado - Ability | 242 - Stalwart - Robusto
Atualizado - Ability | 243 - Steam-engine - Motor à Vapor
Atualizado - Ability | 244 - Punk-rock - Punk Rock
Atualizado - Ability | 245 - Sand-spit - Cuspe de Areia
Atualizado - Ability | 246 - Ice-scales - Escamas de Gelo
Atualizado - Ability | 247 - Ripen - Maturação
Atualizado - Ability | 248 - Ice-face - Face de Gelo
Atualizado - Ability | 249 - Power-spot - Fonte de Energia
Atualizado - Ability | 250 - Mimicry - Mimetismo
Atualizado - Ability | 251 - Screen-cleaner - Limpa-Vidro
Atualizado - Ability | 252 - Steely-spirit - Espírito Férreo
Atualizado - Ability | 253 - Perish-body - Corpo Perecido
Atualizado - Ability | 254 - Wandering-spirit - Espírito Errante
Atualizado - Ability | 255 - Gorilla-tactics - Táticas de Gorila
Atualizado - Ability | 256 - Neutralizing-gas - Gás Neutralizador
Atualizado - Ability | 257 - Pastel-veil - Véu de Tons Pastéis
Atualizado - Ability | 258 - Hunger-switch - Troca da Fome
Atualizado - Ability | 259 - Quick-draw - Movimento Rápido
Atualizado - Ability | 260 - Unseen-fist - Punho Invisível
Atualizado - Ability | 261 - Curious-medicine - Medicina Curiosa
Atualizado - Ability | 262 - Transistor - Transistor
Atualizado - Ability | 263 - Dragons-maw - Boca de Dragão
Atualizado - Ability | 264 - Chilling-neigh - Relincho Arrepiante
Atualizado - Ability | 265 - Grim-neigh - Relincho Cruel
Atualizado - Ability | 266 - As-one-glastrier - Como um Vidraceiro
Atualizado - Ability | 267 - As-one-spectrier - Como um Espectro
Atualizado - Ability | 268 - Lingering-aroma - Aroma Persistente
Atualizado - Ability | 269 - Seed-sower - Semeador de Sementes
Atualizado - Ability | 270 - Thermal-exchange - Câmbio Termal
Atualizado - Ability | 271 - Anger-shell - Casca de Raiva
Atualizado - Ability | 272 - Purifying-salt - Sal Purificador
Atualizado - Ability | 273 - Well-baked-body - Corpo Bem Assado
Atualizado - Ability | 274 - Wind-rider - Cavaleiro do Vento
Atualizado - Ability | 275 - Guard-dog - Cão de Guarda
Atualizado - Ability | 276 - Rocky-payload - Carga Rochosa
Atualizado - Ability | 277 - Wind-power - Força do Vento
Atualizado - Ability | 278 - Zero-to-hero - De Zero a Herói
Atualizado - Ability | 279 - Commander - Comandante
Atualizado - Ability | 280 - Electromorphosis - Eletromorfose
Atualizado - Ability | 281 - Protosynthesis - Protossíntese
Atualizado - Ability | 282 - Quark-drive - Condução de Quarks
Atualizado - Ability | 283 - Good-as-gold - Bom como ouro
Atualizado - Ability | 284 - Vessel-of-ruin - Embarcação da Ruína
Atualizado - Ability | 285 - Sword-of-ruin - Espada da Ruína
Atualizado - Ability | 286 - Tablets-of-ruin - Tábuas da Ruína
Atualizado - Ability | 287 - Beads-of-ruin - Contas de ruína
Atualizado - Ability | 288 - Orichalcum-pulse - Pulso de Oricalco
Atualizado - Ability | 289 - Hadron-engine - Motor de Hádrons
Atualizado - Ability | 290 - Opportunist - Oportunista
Atualizado - Ability | 291 - Cud-chew - Mastigar
Atualizado - Ability | 292 - Sharpness - Agudeza
Atualizado - Ability | 293 - Supreme-overlord - Soberano Supremo
Atualizado - Ability | 294 - Costar - Co-estrela
Atualizado - Ability | 295 - Toxic-debris - Destroços Tóxicos
Atualizado - Ability | 296 - Armor-tail - Cauda de armadura
Atualizado - Ability | 297 - Earth-eater - Comedor de Terra
Atualizado - Ability | 298 - Mycelium-might - Força de Micélio
Atualizado - Ability | 10001 - Mountaineer - Alpinista
Atualizado - Ability | 10002 - Wave-rider - Cavaleiro da onda
Atualizado - Ability | 10003 - Skater - Skatista
Atualizado - Ability | 10004 - Thrust - Empuxo
Atualizado - Ability | 10005 - Perception - Percepção
Atualizado - Ability | 10006 - Parry - Desviar-se
Atualizado - Ability | 10007 - Instinct - Instinto
Atualizado - Ability | 10008 - Dodge - Desviar
Atualizado - Ability | 10009 - Jagged-edge - Borda irregular
Atualizado - Ability | 10010 - Frostbite - Queimadura por frio
Atualizado - Ability | 10011 - Tenacity - Tenacidade
Atualizado - Ability | 10012 - Pride - Orgulho
Atualizado - Ability | 10013 - Deep-sleep - Sono profundo
Atualizado - Ability | 10014 - Power-nap - Cochilo rápido
Atualizado - Ability | 10015 - Spirit - Espírito
Atualizado - Ability | 10016 - Warm-blanket - Cobertor quente
Atualizado - Ability | 10017 - Gulp - Gole
Atualizado - Ability | 10018 - Herbivore - Herbívoro
Atualizado - Ability | 10019 - Sandpit - Caixa de areia
Atualizado - Ability | 10020 - Hot-blooded - Sangue quente
Atualizado - Ability | 10021 - Medic - Médico
Atualizado - Ability | 10022 - Life-force - Força vital
Atualizado - Ability | 10023 - Lunchbox - Lancheira
Atualizado - Ability | 10024 - Nurse - Enfermeira
Atualizado - Ability | 10025 - Melee - Corpo a corpo
Atualizado - Ability | 10026 - Sponge - Esponja
Atualizado - Ability | 10027 - Bodyguard - Guarda-costas
Atualizado - Ability | 10028 - Hero - Herói
Atualizado - Ability | 10029 - Last-bastion - último bastião
Atualizado - Ability | 10030 - Stealth - Furtivo
Atualizado - Ability | 10031 - Vanguard - Vanguarda
Atualizado - Ability | 10032 - Nomad - Nômade
Atualizado - Ability | 10033 - Sequence - Sequência
Atualizado - Ability | 10034 - Grass-cloak - Manto de grama
Atualizado - Ability | 10035 - Celebrate - Celebrate
Atualizado - Ability | 10036 - Lullaby - Canção de ninar
Atualizado - Ability | 10037 - Calming - Calmante
Atualizado - Ability | 10038 - Daze - Torpor
Atualizado - Ability | 10039 - Frighten - Assustar
Atualizado - Ability | 10040 - Interference - Interferência
Atualizado - Ability | 10041 - Mood-maker - Criador de humor
Atualizado - Ability | 10042 - Confidence - Confiança
Atualizado - Ability | 10043 - Fortune - Fortuna
Atualizado - Ability | 10044 - Bonanza - Bonança
Atualizado - Ability | 10045 - Explode - Explodir
Atualizado - Ability | 10046 - Omnipotent - Onipotente
Atualizado - Ability | 10047 - Share - Compartilhar
Atualizado - Ability | 10048 - Black-hole - Buraco negro
Atualizado - Ability | 10049 - Shadow-dash - Traço de sombra
Atualizado - Ability | 10050 - Sprint - Corrida
Atualizado - Ability | 10051 - Disgust - Desgosto
Atualizado - Ability | 10052 - High-rise - Arranha-céus
Atualizado - Ability | 10053 - Climber - Alpinista
Atualizado - Ability | 10054 - Flame-boost - Impulso de chama
Atualizado - Ability | 10055 - Aqua-boost - Impulso aquático
Atualizado - Ability | 10056 - Run-up - Correr
Atualizado - Ability | 10057 - Conqueror - Conquistador
Atualizado - Ability | 10058 - Shackle - Manilha
Atualizado - Ability | 10059 - Decoy - Chamariz
Atualizado - Ability | 10060 - Shield - Escudo

Atualizado - Color | 1 - black
Atualizado - Color | 2 - blue
Atualizado - Color | 3 - brown
Atualizado - Color | 4 - gray
Atualizado - Color | 5 - green
Atualizado - Color | 6 - pink
Atualizado - Color | 7 - purple
Atualizado - Color | 8 - red
Atualizado - Color | 9 - white
Atualizado - Color | 10 - yellow

Atualizado - EggGroup | 1 - monster - Monstro
Atualizado - EggGroup | 2 - water1 - Água - Tipo 1
Atualizado - EggGroup | 3 - bug - Inseto
Atualizado - EggGroup | 4 - flying - Voador
Atualizado - EggGroup | 5 - ground - Terrestre
Atualizado - EggGroup | 6 - fairy - Fada
Atualizado - EggGroup | 7 - plant - Planta
Atualizado - EggGroup | 8 - humanshape - Forma Humana
Atualizado - EggGroup | 9 - water3 - Água - Tipo 3
Atualizado - EggGroup | 10 - mineral - Mineral
Atualizado - EggGroup | 11 - indeterminate - indeterminado
Atualizado - EggGroup | 12 - water2 - Água - Tipo 2
Atualizado - EggGroup | 13 - ditto - Idem
Atualizado - EggGroup | 14 - dragon - Dragão
Atualizado - EggGroup | 15 - no-eggs - Sem Ovos

Atualizado - Gender | Id: 1 - female - Feminino
Atualizado - Gender | Id: 2 - male - Masculino
Atualizado - Gender | Id: 3 - genderless - Sem Gênero

Atualizado - Generation | Generation ID: 1 - Generation Nome: I
Atualizado - Generation | Generation ID: 2 - Generation Nome: II
Atualizado - Generation | Generation ID: 3 - Generation Nome: III
Atualizado - Generation | Generation ID: 4 - Generation Nome: IV
Atualizado - Generation | Generation ID: 5 - Generation Nome: V
Atualizado - Generation | Generation ID: 6 - Generation Nome: VI
Atualizado - Generation | Generation ID: 7 - Generation Nome: VII
Atualizado - Generation | Generation ID: 8 - Generation Nome: VIII
Atualizado - Generation | Generation ID: 9 - Generation Nome: IX

Atualizado - Habitat | 1 - cave - Caverna
Atualizado - Habitat | 2 - forest - Floresta
Atualizado - Habitat | 3 - grassland - Pastagem
Atualizado - Habitat | 4 - mountain - Montanha
Atualizado - Habitat | 5 - rare - Cru
Atualizado - Habitat | 6 - rough-terrain - Terreno acidentado
Atualizado - Habitat | 7 - sea - Mar
Atualizado - Habitat | 8 - urban - Urbano
Atualizado - Habitat | 9 - waters-edge - Beira da água

Atualizado - Shape | 1 - ball - Bola
Atualizado - Shape | 2 - squiggle - Rabisco
Atualizado - Shape | 3 - fish - Peixe
Atualizado - Shape | 4 - arms - Braços
Atualizado - Shape | 5 - blob - Bolha
Atualizado - Shape | 6 - upright - Ereto
Atualizado - Shape | 7 - legs - Pernas
Atualizado - Shape | 8 - quadruped - Quadrúpede
Atualizado - Shape | 9 - wings - Asas
Atualizado - Shape | 10 - tentacles - Tentáculos
Atualizado - Shape | 11 - heads - Cabeças
Atualizado - Shape | 12 - humanoid - Humanóide
Atualizado - Shape | 13 - bug-wings - Asas de insetos
Atualizado - Shape | 14 - armor - Armaduras

Atualizado - Stat | 1 - hp - Pontos de Vida
Atualizado - Stat | 2 - attack - Ataque
Atualizado - Stat | 3 - defense - Defesa
Atualizado - Stat | 4 - special-attack - Ataque Especial
Atualizado - Stat | 5 - special-defense - Defesa Especial
Atualizado - Stat | 6 - speed - Velocidade
Atualizado - Stat | 7 - accuracy - Precisão
Atualizado - Stat | 8 - evasion - evasão

Atualizado - Type | 1 - normal - Normal
Atualizado - Type | 2 - fighting - Lutador
Atualizado - Type | 3 - flying - Voador
Atualizado - Type | 4 - poison - Venenoso
Atualizado - Type | 5 - ground - Terrestre
Atualizado - Type | 6 - rock - Pedra
Atualizado - Type | 7 - bug - Inseto
Atualizado - Type | 8 - ghost - Fantasma
Atualizado - Type | 9 - steel - Metálico
Atualizado - Type | 10 - fire - Fogo
Atualizado - Type | 11 - water - Água
Atualizado - Type | 12 - grass - Planta
Atualizado - Type | 13 - electric - Elétrico
Atualizado - Type | 14 - psychic - Psíquico
Atualizado - Type | 15 - ice - Gelo
Atualizado - Type | 16 - dragon - Dragão
Atualizado - Type | 17 - dark - Sombrio
Atualizado - Type | 18 - fairy - Fada
Atualizado - Type | 10001 - unknown - Desconhecido
Atualizado - Type | 10002 - shadow - Sombra

CadAStrado - Pokemon | 2 - Ivysaur

Cadastrado - Pokemon Type | Pokemon ID: 2 - Type ID: 12 - Type Order: 1
Cadastrado - Pokemon Type | Pokemon ID: 2 - Type ID: 4 - Type Order: 2

Cadastrado - Pokemon Ability | Pokemon ID: 2 - Ability Id: 65
Cadastrado - Pokemon Ability | Pokemon ID: 2 - Ability Id: 34

Cadastrado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 1 - Base Stat: 60 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 2 - Base Stat: 62 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 3 - Base Stat: 63 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 4 - Base Stat: 80 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 5 - Base Stat: 80 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 6 - Base Stat: 60 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 2 - Color ID: 5

Cadastrado - Pokemon Egg Groups | Pokemon ID: 2 - Egg Group ID: 1
Cadastrado - Pokemon Egg Groups | Pokemon ID: 2 - Egg Group ID: 7

Cadastrado - Pokemon Generation | Pokemon ID: 2 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 2 - Habitat ID: 3

Cadastrado - Pokemon Shape | Pokemon ID: 2 - Shape ID: 8

Erro ao cadastrar - Pokemon Evolution Chain | Pokemon ID From: 1 - Pokemon Id To: 2 - Pokemon Evolution: 1
Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 2 - Pokemon Id To: 3 - Pokemon Evolution: 2


-------------------------

CadAStrado - Pokemon | 3 - Venusaur

Cadastrado - Pokemon Type | Pokemon ID: 3 - Type ID: 12 - Type Order: 1
Cadastrado - Pokemon Type | Pokemon ID: 3 - Type ID: 4 - Type Order: 2

Cadastrado - Pokemon Ability | Pokemon ID: 3 - Ability Id: 65
Cadastrado - Pokemon Ability | Pokemon ID: 3 - Ability Id: 34

Cadastrado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 1 - Base Stat: 80 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 2 - Base Stat: 82 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 3 - Base Stat: 83 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 4 - Base Stat: 100 - Effort: 2
Cadastrado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 5 - Base Stat: 100 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 6 - Base Stat: 80 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 3 - Color ID: 5

Cadastrado - Pokemon Egg Groups | Pokemon ID: 3 - Egg Group ID: 1
Cadastrado - Pokemon Egg Groups | Pokemon ID: 3 - Egg Group ID: 7

Cadastrado - Pokemon Generation | Pokemon ID: 3 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 3 - Habitat ID: 3

Cadastrado - Pokemon Shape | Pokemon ID: 3 - Shape ID: 8

Erro ao cadastrar - Pokemon Evolution Chain | Pokemon ID From: 1 - Pokemon Id To: 2 - Pokemon Evolution: 1
Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 2 - Pokemon Id To: 3 - Pokemon Evolution: 2


-------------------------

CadAStrado - Pokemon | 4 - Charmander

