Atualizado - Pokemon | 1001 - Wo-chien
Já cadastrado  - Pokemon Shape | Pokemon ID: 10006 - Shape ID: 8


-------------------------

Atualizado - Pokemon | 10007 - Giratina-origin

Atualizado - Pokemon Ability | Pokemon ID: 10007 - Ability Id: 26 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10007 - Stat ID: 1 - Base Stat: 150 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 10007 - Stat ID: 2 - Base Stat: 120 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10007 - Stat ID: 3 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10007 - Stat ID: 4 - Base Stat: 120 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10007 - Stat ID: 5 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10007 - Stat ID: 6 - Base Stat: 90 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 10007 - Color ID: 1

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10007 - Egg Group ID: 15

Já cadastrado  - Pokemon Generation | Pokemon ID: 10007 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10007 - Shape ID: 10


-------------------------

Atualizado - Pokemon | 10008 - Rotom-heat

Atualizado - Pokemon Ability | Pokemon ID: 10008 - Ability Id: 26 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10008 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10008 - Stat ID: 2 - Base Stat: 65 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10008 - Stat ID: 3 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10008 - Stat ID: 4 - Base Stat: 105 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10008 - Stat ID: 5 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10008 - Stat ID: 6 - Base Stat: 86 - Effort: 1

Já cadastrado  - Pokemon Color | Pokemon ID: 10008 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10008 - Egg Group ID: 11

Já cadastrado  - Pokemon Generation | Pokemon ID: 10008 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10008 - Shape ID: 1


-------------------------

Atualizado - Pokemon | 10009 - Rotom-wash

Atualizado - Pokemon Ability | Pokemon ID: 10009 - Ability Id: 26 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10009 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10009 - Stat ID: 2 - Base Stat: 65 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10009 - Stat ID: 3 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10009 - Stat ID: 4 - Base Stat: 105 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10009 - Stat ID: 5 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10009 - Stat ID: 6 - Base Stat: 86 - Effort: 1

Já cadastrado  - Pokemon Color | Pokemon ID: 10009 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10009 - Egg Group ID: 11

Já cadastrado  - Pokemon Generation | Pokemon ID: 10009 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10009 - Shape ID: 1


-------------------------

Atualizado - Pokemon | 10010 - Rotom-frost

Atualizado - Pokemon Ability | Pokemon ID: 10010 - Ability Id: 26 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10010 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10010 - Stat ID: 2 - Base Stat: 65 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10010 - Stat ID: 3 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10010 - Stat ID: 4 - Base Stat: 105 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10010 - Stat ID: 5 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10010 - Stat ID: 6 - Base Stat: 86 - Effort: 1

Já cadastrado  - Pokemon Color | Pokemon ID: 10010 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10010 - Egg Group ID: 11

Já cadastrado  - Pokemon Generation | Pokemon ID: 10010 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10010 - Shape ID: 1


-------------------------

Atualizado - Pokemon | 10011 - Rotom-fan

Atualizado - Pokemon Ability | Pokemon ID: 10011 - Ability Id: 26 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10011 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10011 - Stat ID: 2 - Base Stat: 65 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10011 - Stat ID: 3 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10011 - Stat ID: 4 - Base Stat: 105 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10011 - Stat ID: 5 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10011 - Stat ID: 6 - Base Stat: 86 - Effort: 1

Já cadastrado  - Pokemon Color | Pokemon ID: 10011 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10011 - Egg Group ID: 11

Já cadastrado  - Pokemon Generation | Pokemon ID: 10011 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10011 - Shape ID: 1


-------------------------

Atualizado - Pokemon | 10012 - Rotom-mow

Atualizado - Pokemon Ability | Pokemon ID: 10012 - Ability Id: 26 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10012 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10012 - Stat ID: 2 - Base Stat: 65 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10012 - Stat ID: 3 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10012 - Stat ID: 4 - Base Stat: 105 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10012 - Stat ID: 5 - Base Stat: 107 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10012 - Stat ID: 6 - Base Stat: 86 - Effort: 1

Já cadastrado  - Pokemon Color | Pokemon ID: 10012 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10012 - Egg Group ID: 11

Já cadastrado  - Pokemon Generation | Pokemon ID: 10012 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10012 - Shape ID: 1


-------------------------

Atualizado - Pokemon | 10013 - Castform-sunny

Atualizado - Pokemon Ability | Pokemon ID: 10013 - Ability Id: 59 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10013 - Stat ID: 1 - Base Stat: 70 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10013 - Stat ID: 2 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10013 - Stat ID: 3 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10013 - Stat ID: 4 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10013 - Stat ID: 5 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10013 - Stat ID: 6 - Base Stat: 70 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 10013 - Color ID: 4

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10013 - Egg Group ID: 6
Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10013 - Egg Group ID: 11

Já cadastrado  - Pokemon Generation | Pokemon ID: 10013 - Generation ID: 3

Já cadastrado  - Pokemon Habitat | Pokemon ID: 10013 - Habitat ID: 3

Já cadastrado  - Pokemon Shape | Pokemon ID: 10013 - Shape ID: 1


-------------------------

Atualizado - Pokemon | 10014 - Castform-rainy

Atualizado - Pokemon Ability | Pokemon ID: 10014 - Ability Id: 59 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10014 - Stat ID: 1 - Base Stat: 70 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10014 - Stat ID: 2 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10014 - Stat ID: 3 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10014 - Stat ID: 4 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10014 - Stat ID: 5 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10014 - Stat ID: 6 - Base Stat: 70 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 10014 - Color ID: 4

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10014 - Egg Group ID: 6
Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10014 - Egg Group ID: 11

Já cadastrado  - Pokemon Generation | Pokemon ID: 10014 - Generation ID: 3

Já cadastrado  - Pokemon Habitat | Pokemon ID: 10014 - Habitat ID: 3

Já cadastrado  - Pokemon Shape | Pokemon ID: 10014 - Shape ID: 1


-------------------------

Atualizado - Pokemon | 10015 - Castform-snowy

Atualizado - Pokemon Ability | Pokemon ID: 10015 - Ability Id: 59 - Is True: 0

